freq,indic_de,geo\TIME_PERIOD	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,MEDAGEPOP,AD	38.0 	38.6 	38.2 	37.9 	37.7 	38.0 	38.4 	38.8 	39.5 	39.6 	39.6 	39.9 	: 	: 	: 	: 	: 	42.6 	: 	: 	: 	: 
A,MEDAGEPOP,AL	27.6 	27.9 	28.2 	28.7 	29.2 	29.8 	30.4 	31.1 	31.9 	32.6 	33.2 	33.7 	34.2 	34.7 	35.2 	35.6 	36.1 	36.7 	37.2 	37.6 	38.2 	38.8 
A,MEDAGEPOP,AM	: 	: 	: 	: 	31.5 	31.8 	32.0 	32.3 	32.6 	: 	: 	: 	: 	34.0 	34.3 	34.6 	35.0 	35.4 	35.8 	36.1 	: 	: 
A,MEDAGEPOP,AT	38.8 	39.1 	39.4 	39.7 	40.1 	40.5 	40.9 	41.2 	41.6 	42.0 	42.4 	42.6 	42.9 	43.0 	43.0 	43.0 	43.2 	43.4 	43.5 	43.6 	43.6 	43.5 
A,MEDAGEPOP,AZ	: 	: 	: 	: 	27.9 	28.2 	28.5 	28.8 	28.8 	29.1 	29.4 	29.7 	30.1 	30.5 	30.9 	31.3 	31.8 	32.3 	32.8 	33.2 	33.8 	: 
A,MEDAGEPOP,BE	39.3 	39.6 	39.8 	40.1 	40.3 	40.5 	40.7 	40.8 	40.9 	40.9 b	41.0 	41.1 	41.3 	41.4 	41.4 	41.5 	41.6 	41.7 	41.8 	41.8 	41.9 	41.9 
A,MEDAGEPOP,BG	40.3 	40.6 	40.9 	41.2 	41.5 	41.7 	41.9 	42.0 	42.2 	42.5 	42.7 	42.9 	43.2 	43.4 	43.6 	43.9 	44.1 	44.5 	44.8 	45.0 	45.1 	46.8 b
A,MEDAGEPOP,BY	: 	: 	: 	: 	37.8 	38.0 	38.1 	38.3 	: 	39.0 	39.1 	39.2 	39.4 	39.5 	39.6 	39.7 	39.9 	40.1 	: 	: 	: 	: 
A,MEDAGEPOP,CH	39.1 	39.4 	39.8 	40.1 	40.4 	40.8 	41.0 	41.2 	41.5 	41.6 b	41.8 	42.0 	42.1 	42.2 	42.3 	42.3 	42.4 	42.5 	42.6 	42.7 	42.8 	42.8 
A,MEDAGEPOP,CY	34.2 	34.5 	34.7 	34.9 	35.1 	35.2 	35.4 	35.5 	35.6 	35.7 	35.8 	36.2 	36.8 	37.0 	37.2 	37.4 	37.5 	37.7 	37.7 	38.0 	38.3 	38.4 
