freq,indic_de,geo\TIME_PERIOD	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,JAN,AD	65844 	66334 	67159 	72320 	76875 	78549 	81222 	83137 	84484 	84082 	78115 b	78115 	76246 	: 	: 	71732 	: 	74794 e	76177 	77543 e	: 	79535 	81588 
A,JAN,AL	3063320 	3057018 	3044993 	3034231 	3019634 	3003329 	2981755 	2958266 	2936355 	2918674 	2907361 	2903008 	2897770 	2892394 	2885796 	2875592 	2876591 	2870324 	2862427 	2845955 	2829741 	2793592 	2761785 
A,JAN,AM	3215300 	3212900 	3210300 	3212200 	3215800 	3219234 	3222953 	3230086 	3237976 	3249482 	3262650 	3274285 	3026878 	3017079 	3010598 	2998577 	2986151 	2972732 	2965269 	2959694 	2963251 	: 	2977130 
A,JAN,AT	8020946 	8063640 	8100273 	8142573 	8201359 	8254298 	8282984 	8307989 	8335003 	8351643 	8375164 	8408121 	8451860 	8507786 	8584926 	8700471 	8772865 	8822267 	8858775 	8901064 	8932664 	8978929 	9104772 
A,JAN,AZ	8081000 	8141400 	8202500 	8265700 	8347300 	8436400 	8532700 	8629900 	8896900 	8997586 	9111078 	9235085 	9356483 	9477119 	9593038 	9705643 	9809981 	9898085 	9981457 	10067108 	10119133 	10156366 	10127145 
A,JAN,BA	3789717 e	3813167 e	3830349 e	3837414 e	3842532 e	3842650 	3844017 	3843846 	3843998 	3844046 	3843183 	3839265 	3835645 	3830911 	3825334 	3515982 	3509728 	3500295 	3492018 p	: 	: 	: 	: 
A,JAN,BE	10263414 	10309725 	10355844 	10396421 	10445852 	10511382 	10584534 	10666866 	10753080 	10839905 	11000638 b	11075889 b	11137974 	11180840 	11237274 	11311117 	11351727 	11398589 	11455519 	11522440 	11554767 	11617623 	11742796 
A,JAN,BG	8149468 	7868815 	7805506 	7745147 	7688573 	7629371 	7572673 	7518002 	7467119 	7421766 	7369431 	7327224 	7284552 	7245677 	7202198 	7153784 	7101859 	7050034 	7000039 	6951482 	6916548 	6838937 	6447710 
A,JAN,BY	9990435 	9950941 	9898590 	9849062 	9800073 	9750540 	9714461 	9689770 	9671912 	9480178 	9481193 	9465150 	9463840 	9468154 	9480868 e	9498364 	9504704 	9491823 	9475174 	9408350 	: 	: 	: 
A,JAN,CH	7204055 	7255653 	7313853 	7364148 	7415102 	7459128 	7508739 	7593494 	7701856 	7785806 	7870134 b	7954662 	8039060 	8139631 	8237666 	8327126 	8419550 	8484130 	8544527 	8606033 	8670300 	8738791 	8815385 
A,JAN,CY	697549 	705539 	713720 	722893 	733067 	744013 	757916 	776333 	796930 	819140 	839751 	862011 	865878 	858000 	847008 	848319 	854802 	864236 	875899 	888005 	896007 	904705 	920701 
